trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-57.72014097607164,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-108.15200342283,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-180.4562174118139,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-109.01932953633836,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-237.5276952339945,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-152.9754523292907,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-158.4573182868551,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-123.90735724139026,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-196.99860810721577,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-228.09875147777026,"{0: 18, 1: 0, 2: 5, 3: 4, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-82.4579686396287,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-68.20547438957793,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,2,-92.69050289281606,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,20,5.81442975975875,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-96.79197446690566,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-147.2936169821793,"{0: 13, 1: 1, 2: 0, 3: 4, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,21.428127225621363,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,2,-144.47956241250318,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 3}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,12,12.421304445847959,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,1,16.706932175375684,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-56.403786418588275,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,15,-37.502017522051034,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",30,9,-205.24115086453392,"{0: 13, 1: 0, 2: 1, 3: 3, 4: 4}",1
4,True,"{'a': 0, 'e': 0}",25,0,-74.53473292910996,"{0: 21, 1: 0, 2: 0, 3: 3, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,15,-69.5244657016662,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,-76.86569011470516,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,20,7.487470298972756,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-135.55340512213817,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,2,-61.069869028561754,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",30,16,-42.87490947428532,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
