trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.1, 'e': 0.7936000000000001}",20,0,-98.79599342,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,FALSE,"{'a': 0.1, 'e': 0.7872512}",30,0,-201.2168338,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
3,FALSE,"{'a': 0.1, 'e': 0.7809531904}",20,0,-113.4329313,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,FALSE,"{'a': 0.1, 'e': 0.7747055648768}",20,0,-150.7986957,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,FALSE,"{'a': 0.1, 'e': 0.7685079203577856}",25,0,-120.6964739,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
6,FALSE,"{'a': 0.1, 'e': 0.7623598569949234}",25,0,-110.2833082,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
7,FALSE,"{'a': 0.1, 'e': 0.756260978138964}",30,0,-175.7084296,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
8,FALSE,"{'a': 0.1, 'e': 0.7502108903138522}",20,0,-60.05024498,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,FALSE,"{'a': 0.1, 'e': 0.7442092031913414}",25,0,-79.53751417,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
10,FALSE,"{'a': 0.1, 'e': 0.7382555295658106}",20,0,-131.9487806,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
11,FALSE,"{'a': 0.1, 'e': 0.7323494853292841}",25,5,-115.0213908,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",1
12,FALSE,"{'a': 0.1, 'e': 0.7264906894466499}",20,0,-42.43506478,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,FALSE,"{'a': 0.1, 'e': 0.7206787639310767}",20,0,-99.99466791,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
14,FALSE,"{'a': 0.1, 'e': 0.7149133338196281}",30,2,-41.59251673,"{0: 22, 1: 4, 2: 1, 3: 0, 4: 1}",1
15,FALSE,"{'a': 0.1, 'e': 0.7091940271490711}",25,8,-0.425763895,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,FALSE,"{'a': 0.1, 'e': 0.7035204749318784}",20,0,-28.73852521,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
17,FALSE,"{'a': 0.1, 'e': 0.6978923111324234}",25,0,-99.14802228,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
